time,local_time,solar
2019-01-01 00:00,2019-01-01 02:00,0
2019-01-01 01:00,2019-01-01 03:00,0
2019-01-01 02:00,2019-01-01 04:00,0
2019-01-01 03:00,2019-01-01 05:00,0
2019-01-01 04:00,2019-01-01 06:00,0.003
2019-01-01 05:00,2019-01-01 07:00,66.898
2019-01-01 06:00,2019-01-01 08:00,248.045
2019-01-01 07:00,2019-01-01 09:00,417.995
2019-01-01 08:00,2019-01-01 10:00,546.014
2019-01-01 09:00,2019-01-01 11:00,615.535
2019-01-01 10:00,2019-01-01 12:00,618.081
2019-01-01 11:00,2019-01-01 13:00,553.736
2019-01-01 12:00,2019-01-01 14:00,427.302
2019-01-01 13:00,2019-01-01 15:00,256.498
2019-01-01 14:00,2019-01-01 16:00,76.272
2019-01-01 15:00,2019-01-01 17:00,0.229
2019-01-01 16:00,2019-01-01 18:00,0
2019-01-01 17:00,2019-01-01 19:00,0
2019-01-01 18:00,2019-01-01 20:00,0
2019-01-01 19:00,2019-01-01 21:00,0
2019-01-01 20:00,2019-01-01 22:00,0
2019-01-01 21:00,2019-01-01 23:00,0
2019-01-01 22:00,2019-01-02 00:00,0
2019-01-01 23:00,2019-01-02 01:00,0
2019-01-02 00:00,2019-01-02 02:00,0
2019-01-02 01:00,2019-01-02 03:00,0
2019-01-02 02:00,2019-01-02 04:00,0
2019-01-02 03:00,2019-01-02 05:00,0
2019-01-02 04:00,2019-01-02 06:00,0.003
2019-01-02 05:00,2019-01-02 07:00,46.276
2019-01-02 06:00,2019-01-02 08:00,163.384
2019-01-02 07:00,2019-01-02 09:00,288.599
2019-01-02 08:00,2019-01-02 10:00,390.172
2019-01-02 09:00,2019-01-02 11:00,486.578
2019-01-02 10:00,2019-01-02 12:00,531.872
2019-01-02 11:00,2019-01-02 13:00,480.166
2019-01-02 12:00,2019-01-02 14:00,350.401
2019-01-02 13:00,2019-01-02 15:00,178.243
2019-01-02 14:00,2019-01-02 16:00,44.671
2019-01-02 15:00,2019-01-02 17:00,0.171
2019-01-02 16:00,2019-01-02 18:00,0
2019-01-02 17:00,2019-01-02 19:00,0
2019-01-02 18:00,2019-01-02 20:00,0
2019-01-02 19:00,2019-01-02 21:00,0
2019-01-02 20:00,2019-01-02 22:00,0
2019-01-02 21:00,2019-01-02 23:00,0
2019-01-02 22:00,2019-01-03 00:00,0
2019-01-02 23:00,2019-01-03 01:00,0
2019-01-03 00:00,2019-01-03 02:00,0
2019-01-03 01:00,2019-01-03 03:00,0
2019-01-03 02:00,2019-01-03 04:00,0
2019-01-03 03:00,2019-01-03 05:00,0
2019-01-03 04:00,2019-01-03 06:00,0.005
2019-01-03 05:00,2019-01-03 07:00,54.738
2019-01-03 06:00,2019-01-03 08:00,244.605
2019-01-03 07:00,2019-01-03 09:00,419.747
2019-01-03 08:00,2019-01-03 10:00,549.105
2019-01-03 09:00,2019-01-03 11:00,623.333
2019-01-03 10:00,2019-01-03 12:00,623.118
2019-01-03 11:00,2019-01-03 13:00,553.530
2019-01-03 12:00,2019-01-03 14:00,441.265
2019-01-03 13:00,2019-01-03 15:00,263.479
2019-01-03 14:00,2019-01-03 16:00,76.619
2019-01-03 15:00,2019-01-03 17:00,0.281
2019-01-03 16:00,2019-01-03 18:00,0
2019-01-03 17:00,2019-01-03 19:00,0
2019-01-03 18:00,2019-01-03 20:00,0
2019-01-03 19:00,2019-01-03 21:00,0
2019-01-03 20:00,2019-01-03 22:00,0
2019-01-03 21:00,2019-01-03 23:00,0
2019-01-03 22:00,2019-01-04 00:00,0
2019-01-03 23:00,2019-01-04 01:00,0
2019-01-04 00:00,2019-01-04 02:00,0
2019-01-04 01:00,2019-01-04 03:00,0
2019-01-04 02:00,2019-01-04 04:00,0
2019-01-04 03:00,2019-01-04 05:00,0
2019-01-04 04:00,2019-01-04 06:00,0.007
2019-01-04 05:00,2019-01-04 07:00,60.969
2019-01-04 06:00,2019-01-04 08:00,237.378
2019-01-04 07:00,2019-01-04 09:00,410.704
2019-01-04 08:00,2019-01-04 10:00,541.218
2019-01-04 09:00,2019-01-04 11:00,638.745
2019-01-04 10:00,2019-01-04 12:00,639.607
2019-01-04 11:00,2019-01-04 13:00,573.248
2019-01-04 12:00,2019-01-04 14:00,453.570
2019-01-04 13:00,2019-01-04 15:00,279.822
2019-01-04 14:00,2019-01-04 16:00,88.590
2019-01-04 15:00,2019-01-04 17:00,0.345
2019-01-04 16:00,2019-01-04 18:00,0
2019-01-04 17:00,2019-01-04 19:00,0
2019-01-04 18:00,2019-01-04 20:00,0
2019-01-04 19:00,2019-01-04 21:00,0
2019-01-04 20:00,2019-01-04 22:00,0
2019-01-04 21:00,2019-01-04 23:00,0
2019-01-04 22:00,2019-01-05 00:00,0
2019-01-04 23:00,2019-01-05 01:00,0
2019-01-05 00:00,2019-01-05 02:00,0
2019-01-05 01:00,2019-01-05 03:00,0
2019-01-05 02:00,2019-01-05 04:00,0
2019-01-05 03:00,2019-01-05 05:00,0
2019-01-05 04:00,2019-01-05 06:00,0.010
2019-01-05 05:00,2019-01-05 07:00,66.961
2019-01-05 06:00,2019-01-05 08:00,251.624
2019-01-05 07:00,2019-01-05 09:00,427.932
2019-01-05 08:00,2019-01-05 10:00,557.782
2019-01-05 09:00,2019-01-05 11:00,628.461
2019-01-05 10:00,2019-01-05 12:00,625.303
2019-01-05 11:00,2019-01-05 13:00,499.040
2019-01-05 12:00,2019-01-05 14:00,384.005
2019-01-05 13:00,2019-01-05 15:00,252.681
2019-01-05 14:00,2019-01-05 16:00,70.683
2019-01-05 15:00,2019-01-05 17:00,0.282
2019-01-05 16:00,2019-01-05 18:00,0
2019-01-05 17:00,2019-01-05 19:00,0
2019-01-05 18:00,2019-01-05 20:00,0
2019-01-05 19:00,2019-01-05 21:00,0
2019-01-05 20:00,2019-01-05 22:00,0
2019-01-05 21:00,2019-01-05 23:00,0
2019-01-05 22:00,2019-01-06 00:00,0
2019-01-05 23:00,2019-01-06 01:00,0
2019-01-06 00:00,2019-01-06 02:00,0
2019-01-06 01:00,2019-01-06 03:00,0
2019-01-06 02:00,2019-01-06 04:00,0
2019-01-06 03:00,2019-01-06 05:00,0
2019-01-06 04:00,2019-01-06 06:00,0.012
2019-01-06 05:00,2019-01-06 07:00,59.481
2019-01-06 06:00,2019-01-06 08:00,228.748
2019-01-06 07:00,2019-01-06 09:00,393.475
2019-01-06 08:00,2019-01-06 10:00,509.155
2019-01-06 09:00,2019-01-06 11:00,565.416
2019-01-06 10:00,2019-01-06 12:00,544.139
2019-01-06 11:00,2019-01-06 13:00,472.890
2019-01-06 12:00,2019-01-06 14:00,341.452
2019-01-06 13:00,2019-01-06 15:00,193.099
2019-01-06 14:00,2019-01-06 16:00,56.778
2019-01-06 15:00,2019-01-06 17:00,0.319
2019-01-06 16:00,2019-01-06 18:00,0
2019-01-06 17:00,2019-01-06 19:00,0
2019-01-06 18:00,2019-01-06 20:00,0
2019-01-06 19:00,2019-01-06 21:00,0
2019-01-06 20:00,2019-01-06 22:00,0
2019-01-06 21:00,2019-01-06 23:00,0
2019-01-06 22:00,2019-01-07 00:00,0
2019-01-06 23:00,2019-01-07 01:00,0
2019-01-07 00:00,2019-01-07 02:00,0
2019-01-07 01:00,2019-01-07 03:00,0
2019-01-07 02:00,2019-01-07 04:00,0
2019-01-07 03:00,2019-01-07 05:00,0
2019-01-07 04:00,2019-01-07 06:00,0.017
2019-01-07 05:00,2019-01-07 07:00,58.611
2019-01-07 06:00,2019-01-07 08:00,198.089
2019-01-07 07:00,2019-01-07 09:00,289.225
2019-01-07 08:00,2019-01-07 10:00,373.743
2019-01-07 09:00,2019-01-07 11:00,541.501
2019-01-07 10:00,2019-01-07 12:00,607.518
2019-01-07 11:00,2019-01-07 13:00,546.840
2019-01-07 12:00,2019-01-07 14:00,429.381
2019-01-07 13:00,2019-01-07 15:00,245.659
2019-01-07 14:00,2019-01-07 16:00,70.389
2019-01-07 15:00,2019-01-07 17:00,0.387
2019-01-07 16:00,2019-01-07 18:00,0
2019-01-07 17:00,2019-01-07 19:00,0
2019-01-07 18:00,2019-01-07 20:00,0
2019-01-07 19:00,2019-01-07 21:00,0
2019-01-07 20:00,2019-01-07 22:00,0
2019-01-07 21:00,2019-01-07 23:00,0
2019-01-07 22:00,2019-01-08 00:00,0
2019-01-07 23:00,2019-01-08 01:00,0
2019-01-08 00:00,2019-01-08 02:00,0
2019-01-08 01:00,2019-01-08 03:00,0
2019-01-08 02:00,2019-01-08 04:00,0
2019-01-08 03:00,2019-01-08 05:00,0
2019-01-08 04:00,2019-01-08 06:00,0.018
2019-01-08 05:00,2019-01-08 07:00,55.636
