time,local_time,solar
2019-01-01 00:00,2019-01-01 01:00,0
2019-01-01 01:00,2019-01-01 02:00,0
2019-01-01 02:00,2019-01-01 03:00,0
2019-01-01 03:00,2019-01-01 04:00,0
2019-01-01 04:00,2019-01-01 05:00,0
2019-01-01 05:00,2019-01-01 06:00,0
2019-01-01 06:00,2019-01-01 07:00,0
2019-01-01 07:00,2019-01-01 08:00,0.372
2019-01-01 08:00,2019-01-01 09:00,8.068
2019-01-01 09:00,2019-01-01 10:00,16.283
2019-01-01 10:00,2019-01-01 11:00,22.794
2019-01-01 11:00,2019-01-01 12:00,18.752
2019-01-01 12:00,2019-01-01 13:00,25.054
2019-01-01 13:00,2019-01-01 14:00,37.022
2019-01-01 14:00,2019-01-01 15:00,32.503
2019-01-01 15:00,2019-01-01 16:00,2.380
2019-01-01 16:00,2019-01-01 17:00,0
2019-01-01 17:00,2019-01-01 18:00,0
2019-01-01 18:00,2019-01-01 19:00,0
2019-01-01 19:00,2019-01-01 20:00,0
2019-01-01 20:00,2019-01-01 21:00,0
2019-01-01 21:00,2019-01-01 22:00,0
2019-01-01 22:00,2019-01-01 23:00,0
2019-01-01 23:00,2019-01-02 00:00,0
2019-01-02 00:00,2019-01-02 01:00,0
2019-01-02 01:00,2019-01-02 02:00,0
2019-01-02 02:00,2019-01-02 03:00,0
2019-01-02 03:00,2019-01-02 04:00,0
2019-01-02 04:00,2019-01-02 05:00,0
2019-01-02 05:00,2019-01-02 06:00,0
2019-01-02 06:00,2019-01-02 07:00,0
2019-01-02 07:00,2019-01-02 08:00,2.965
2019-01-02 08:00,2019-01-02 09:00,60.487
2019-01-02 09:00,2019-01-02 10:00,129.800
2019-01-02 10:00,2019-01-02 11:00,201.894
2019-01-02 11:00,2019-01-02 12:00,236.073
2019-01-02 12:00,2019-01-02 13:00,201.405
2019-01-02 13:00,2019-01-02 14:00,152.734
2019-01-02 14:00,2019-01-02 15:00,76.664
2019-01-02 15:00,2019-01-02 16:00,5.559
2019-01-02 16:00,2019-01-02 17:00,0
2019-01-02 17:00,2019-01-02 18:00,0
2019-01-02 18:00,2019-01-02 19:00,0
2019-01-02 19:00,2019-01-02 20:00,0
2019-01-02 20:00,2019-01-02 21:00,0
2019-01-02 21:00,2019-01-02 22:00,0
2019-01-02 22:00,2019-01-02 23:00,0
2019-01-02 23:00,2019-01-03 00:00,0
2019-01-03 00:00,2019-01-03 01:00,0
2019-01-03 01:00,2019-01-03 02:00,0
2019-01-03 02:00,2019-01-03 03:00,0
2019-01-03 03:00,2019-01-03 04:00,0
2019-01-03 04:00,2019-01-03 05:00,0
2019-01-03 05:00,2019-01-03 06:00,0
2019-01-03 06:00,2019-01-03 07:00,0
2019-01-03 07:00,2019-01-03 08:00,1.152
2019-01-03 08:00,2019-01-03 09:00,19.448
2019-01-03 09:00,2019-01-03 10:00,50.402
2019-01-03 10:00,2019-01-03 11:00,83.552
2019-01-03 11:00,2019-01-03 12:00,103.699
2019-01-03 12:00,2019-01-03 13:00,104.856
2019-01-03 13:00,2019-01-03 14:00,75.510
2019-01-03 14:00,2019-01-03 15:00,36.916
2019-01-03 15:00,2019-01-03 16:00,3.298
2019-01-03 16:00,2019-01-03 17:00,0
2019-01-03 17:00,2019-01-03 18:00,0
2019-01-03 18:00,2019-01-03 19:00,0
2019-01-03 19:00,2019-01-03 20:00,0
2019-01-03 20:00,2019-01-03 21:00,0
2019-01-03 21:00,2019-01-03 22:00,0
2019-01-03 22:00,2019-01-03 23:00,0
2019-01-03 23:00,2019-01-04 00:00,0
2019-01-04 00:00,2019-01-04 01:00,0
2019-01-04 01:00,2019-01-04 02:00,0
2019-01-04 02:00,2019-01-04 03:00,0
2019-01-04 03:00,2019-01-04 04:00,0
2019-01-04 04:00,2019-01-04 05:00,0
2019-01-04 05:00,2019-01-04 06:00,0
2019-01-04 06:00,2019-01-04 07:00,0
2019-01-04 07:00,2019-01-04 08:00,0.800
2019-01-04 08:00,2019-01-04 09:00,10.556
2019-01-04 09:00,2019-01-04 10:00,17.442
2019-01-04 10:00,2019-01-04 11:00,24.773
2019-01-04 11:00,2019-01-04 12:00,56.679
2019-01-04 12:00,2019-01-04 13:00,61.306
2019-01-04 13:00,2019-01-04 14:00,38.377
2019-01-04 14:00,2019-01-04 15:00,21.380
2019-01-04 15:00,2019-01-04 16:00,2.180
2019-01-04 16:00,2019-01-04 17:00,0
2019-01-04 17:00,2019-01-04 18:00,0
2019-01-04 18:00,2019-01-04 19:00,0
2019-01-04 19:00,2019-01-04 20:00,0
2019-01-04 20:00,2019-01-04 21:00,0
2019-01-04 21:00,2019-01-04 22:00,0
2019-01-04 22:00,2019-01-04 23:00,0
2019-01-04 23:00,2019-01-05 00:00,0
2019-01-05 00:00,2019-01-05 01:00,0
2019-01-05 01:00,2019-01-05 02:00,0
2019-01-05 02:00,2019-01-05 03:00,0
2019-01-05 03:00,2019-01-05 04:00,0
2019-01-05 04:00,2019-01-05 05:00,0
2019-01-05 05:00,2019-01-05 06:00,0
2019-01-05 06:00,2019-01-05 07:00,0
2019-01-05 07:00,2019-01-05 08:00,0.959
2019-01-05 08:00,2019-01-05 09:00,18.840
2019-01-05 09:00,2019-01-05 10:00,49.848
2019-01-05 10:00,2019-01-05 11:00,72.191
2019-01-05 11:00,2019-01-05 12:00,81.579
2019-01-05 12:00,2019-01-05 13:00,74.993
2019-01-05 13:00,2019-01-05 14:00,37.103
2019-01-05 14:00,2019-01-05 15:00,14.788
2019-01-05 15:00,2019-01-05 16:00,0.925
2019-01-05 16:00,2019-01-05 17:00,0
2019-01-05 17:00,2019-01-05 18:00,0
2019-01-05 18:00,2019-01-05 19:00,0
2019-01-05 19:00,2019-01-05 20:00,0
2019-01-05 20:00,2019-01-05 21:00,0
2019-01-05 21:00,2019-01-05 22:00,0
2019-01-05 22:00,2019-01-05 23:00,0
2019-01-05 23:00,2019-01-06 00:00,0
2019-01-06 00:00,2019-01-06 01:00,0
2019-01-06 01:00,2019-01-06 02:00,0
2019-01-06 02:00,2019-01-06 03:00,0
2019-01-06 03:00,2019-01-06 04:00,0
