time,local_time,t2m
2019-01-01 00:00,2019-01-01 02:00,9.420
2019-01-01 01:00,2019-01-01 03:00,8.808
2019-01-01 02:00,2019-01-01 04:00,8.138
2019-01-01 03:00,2019-01-01 05:00,7.405
2019-01-01 04:00,2019-01-01 06:00,6.861
2019-01-01 05:00,2019-01-01 07:00,7.530
2019-01-01 06:00,2019-01-01 08:00,9.605
2019-01-01 07:00,2019-01-01 09:00,11.808
2019-01-01 08:00,2019-01-01 10:00,15.272
2019-01-01 09:00,2019-01-01 11:00,16.835
2019-01-01 10:00,2019-01-01 12:00,17.418
2019-01-01 11:00,2019-01-01 13:00,17.625
2019-01-01 12:00,2019-01-01 14:00,17.479
2019-01-01 13:00,2019-01-01 15:00,16.892
2019-01-01 14:00,2019-01-01 16:00,14.441
2019-01-01 15:00,2019-01-01 17:00,11.909
2019-01-01 16:00,2019-01-01 18:00,11.240
2019-01-01 17:00,2019-01-01 19:00,10.773
2019-01-01 18:00,2019-01-01 20:00,10.404
2019-01-01 19:00,2019-01-01 21:00,9.968
2019-01-01 20:00,2019-01-01 22:00,9.465
2019-01-01 21:00,2019-01-01 23:00,8.943
2019-01-01 22:00,2019-01-02 00:00,8.504
2019-01-01 23:00,2019-01-02 01:00,8.083
2019-01-02 00:00,2019-01-02 02:00,7.858
2019-01-02 01:00,2019-01-02 03:00,7.662
2019-01-02 02:00,2019-01-02 04:00,7.452
2019-01-02 03:00,2019-01-02 05:00,7.172
2019-01-02 04:00,2019-01-02 06:00,7.049
2019-01-02 05:00,2019-01-02 07:00,7.581
2019-01-02 06:00,2019-01-02 08:00,9.067
2019-01-02 07:00,2019-01-02 09:00,11.193
2019-01-02 08:00,2019-01-02 10:00,13.407
2019-01-02 09:00,2019-01-02 11:00,14.712
2019-01-02 10:00,2019-01-02 12:00,15.391
2019-01-02 11:00,2019-01-02 13:00,15.581
2019-01-02 12:00,2019-01-02 14:00,15.374
2019-01-02 13:00,2019-01-02 15:00,14.873
2019-01-02 14:00,2019-01-02 16:00,13.835
2019-01-02 15:00,2019-01-02 17:00,12.597
2019-01-02 16:00,2019-01-02 18:00,12.014
2019-01-02 17:00,2019-01-02 19:00,11.439
2019-01-02 18:00,2019-01-02 20:00,10.795
2019-01-02 19:00,2019-01-02 21:00,10.397
2019-01-02 20:00,2019-01-02 22:00,10.187
2019-01-02 21:00,2019-01-02 23:00,9.648
2019-01-02 22:00,2019-01-03 00:00,9.229
2019-01-02 23:00,2019-01-03 01:00,9.070
2019-01-03 00:00,2019-01-03 02:00,8.577
2019-01-03 01:00,2019-01-03 03:00,7.899
2019-01-03 02:00,2019-01-03 04:00,7.273
2019-01-03 03:00,2019-01-03 05:00,6.780
2019-01-03 04:00,2019-01-03 06:00,6.400
2019-01-03 05:00,2019-01-03 07:00,6.416
2019-01-03 06:00,2019-01-03 08:00,7.663
2019-01-03 07:00,2019-01-03 09:00,10.169
2019-01-03 08:00,2019-01-03 10:00,12.707
2019-01-03 09:00,2019-01-03 11:00,15.211
2019-01-03 10:00,2019-01-03 12:00,16.123
2019-01-03 11:00,2019-01-03 13:00,16.441
2019-01-03 12:00,2019-01-03 14:00,16.439
2019-01-03 13:00,2019-01-03 15:00,15.960
2019-01-03 14:00,2019-01-03 16:00,14.078
2019-01-03 15:00,2019-01-03 17:00,11.564
2019-01-03 16:00,2019-01-03 18:00,10.988
2019-01-03 17:00,2019-01-03 19:00,10.616
2019-01-03 18:00,2019-01-03 20:00,10.168
2019-01-03 19:00,2019-01-03 21:00,9.545
2019-01-03 20:00,2019-01-03 22:00,8.830
2019-01-03 21:00,2019-01-03 23:00,8.167
2019-01-03 22:00,2019-01-04 00:00,7.598
2019-01-03 23:00,2019-01-04 01:00,7.101
2019-01-04 00:00,2019-01-04 02:00,6.685
2019-01-04 01:00,2019-01-04 03:00,6.262
2019-01-04 02:00,2019-01-04 04:00,5.815
2019-01-04 03:00,2019-01-04 05:00,5.392
2019-01-04 04:00,2019-01-04 06:00,5.054
2019-01-04 05:00,2019-01-04 07:00,5.751
2019-01-04 06:00,2019-01-04 08:00,7.963
2019-01-04 07:00,2019-01-04 09:00,10.229
2019-01-04 08:00,2019-01-04 10:00,13.494
2019-01-04 09:00,2019-01-04 11:00,16.287
2019-01-04 10:00,2019-01-04 12:00,17.465
2019-01-04 11:00,2019-01-04 13:00,17.805
2019-01-04 12:00,2019-01-04 14:00,17.681
2019-01-04 13:00,2019-01-04 15:00,16.973
2019-01-04 14:00,2019-01-04 16:00,13.826
2019-01-04 15:00,2019-01-04 17:00,11.485
2019-01-04 16:00,2019-01-04 18:00,10.789
2019-01-04 17:00,2019-01-04 19:00,10.290
