time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,6.294
2019-01-01 01:00,2019-01-01 02:00,6.003
2019-01-01 02:00,2019-01-01 03:00,5.710
2019-01-01 03:00,2019-01-01 04:00,5.540
2019-01-01 04:00,2019-01-01 05:00,5.458
2019-01-01 05:00,2019-01-01 06:00,5.247
2019-01-01 06:00,2019-01-01 07:00,5.223
2019-01-01 07:00,2019-01-01 08:00,5.293
2019-01-01 08:00,2019-01-01 09:00,5.498
2019-01-01 09:00,2019-01-01 10:00,5.695
2019-01-01 10:00,2019-01-01 11:00,5.835
2019-01-01 11:00,2019-01-01 12:00,6.007
2019-01-01 12:00,2019-01-01 13:00,6.320
2019-01-01 13:00,2019-01-01 14:00,6.737
2019-01-01 14:00,2019-01-01 15:00,6.708
2019-01-01 15:00,2019-01-01 16:00,6.091
2019-01-01 16:00,2019-01-01 17:00,5.253
2019-01-01 17:00,2019-01-01 18:00,4.756
2019-01-01 18:00,2019-01-01 19:00,4.219
2019-01-01 19:00,2019-01-01 20:00,3.549
2019-01-01 20:00,2019-01-01 21:00,3.005
2019-01-01 21:00,2019-01-01 22:00,2.716
2019-01-01 22:00,2019-01-01 23:00,2.379
2019-01-01 23:00,2019-01-02 00:00,1.697
2019-01-02 00:00,2019-01-02 01:00,1.020
2019-01-02 01:00,2019-01-02 02:00,1.236
2019-01-02 02:00,2019-01-02 03:00,1.689
2019-01-02 03:00,2019-01-02 04:00,1.827
2019-01-02 04:00,2019-01-02 05:00,1.484
2019-01-02 05:00,2019-01-02 06:00,1.133
2019-01-02 06:00,2019-01-02 07:00,0.770
2019-01-02 07:00,2019-01-02 08:00,0.517
2019-01-02 08:00,2019-01-02 09:00,1.156
2019-01-02 09:00,2019-01-02 10:00,2.378
2019-01-02 10:00,2019-01-02 11:00,3.591
2019-01-02 11:00,2019-01-02 12:00,4.454
2019-01-02 12:00,2019-01-02 13:00,4.731
2019-01-02 13:00,2019-01-02 14:00,4.561
2019-01-02 14:00,2019-01-02 15:00,3.524
2019-01-02 15:00,2019-01-02 16:00,1.170
2019-01-02 16:00,2019-01-02 17:00,0.200
2019-01-02 17:00,2019-01-02 18:00,-0.563
2019-01-02 18:00,2019-01-02 19:00,-1.401
2019-01-02 19:00,2019-01-02 20:00,-2.162
2019-01-02 20:00,2019-01-02 21:00,-2.642
2019-01-02 21:00,2019-01-02 22:00,-2.733
2019-01-02 22:00,2019-01-02 23:00,-2.324
2019-01-02 23:00,2019-01-03 00:00,-1.547
2019-01-03 00:00,2019-01-03 01:00,-0.873
2019-01-03 01:00,2019-01-03 02:00,-0.695
2019-01-03 02:00,2019-01-03 03:00,-0.706
2019-01-03 03:00,2019-01-03 04:00,-0.687
2019-01-03 04:00,2019-01-03 05:00,-0.570
2019-01-03 05:00,2019-01-03 06:00,-0.254
2019-01-03 06:00,2019-01-03 07:00,0.122
2019-01-03 07:00,2019-01-03 08:00,0.421
2019-01-03 08:00,2019-01-03 09:00,0.868
2019-01-03 09:00,2019-01-03 10:00,1.464
2019-01-03 10:00,2019-01-03 11:00,2.229
2019-01-03 11:00,2019-01-03 12:00,2.927
2019-01-03 12:00,2019-01-03 13:00,3.346
2019-01-03 13:00,2019-01-03 14:00,3.444
2019-01-03 14:00,2019-01-03 15:00,3.087
2019-01-03 15:00,2019-01-03 16:00,2.245
