Strompreis [Euro/kWh],Netzlast [kW]
0.2129029,0.382568101
0.2127958,0.334994866
0.2127839,0.282466085
0.212772,0.282466085
0.2127482,0.271563885
0.2127601,0.284448303
0.2127244,0.278501649
0.2127601,0.312199357
0.2127839,0.60754986
0.2128315,0.612505406
0.2128553,0.747296239
0.2134265,0.721527404
0.2154495,0.918758109
0.2151163,1.841480654
0.2140215,0.655123096
0.2171393,1.970324833
0.2640253,0.272554995
0.2722006,0.224981759
0.2818039,0.220026214
0.2773414,0.382568101
0.2699158,1.580818968
0.2638944,1.042646743
0.268821,0.495554535
0.2550884,0.282466085
0.249186,0.708490305
0.2366672,0.466569166
0.2497096,0.471155812
0.234668,0.309549759
0.2259691,0.351805448
0.2291821,0.642813449
0.2694636,0.662526264
0.2819229,0.400697134
0.2909312,0.454175465
0.2898126,0.449100879
0.2948701,0.825693729
0.3002965,0.228356379
0.3057943,0.194395687
0.3066392,0.196347451
0.3070795,0.188930748
0.3079363,0.277443242
0.3121013,0.475254516
0.3090787,0.299595763
0.3019744,0.461006639
0.2879681,0.838965723
0.2807448,0.905813638
0.268583,0.837209136
0.2603839,0.947678974
0.2216256,0.960072675
0.2126887,0.708490305
0.2113202,0.466569166
0.2112369,0.471155812
0.211225,0.309549759
0.211225,0.351805448
0.2111417,0.642813449
0.214081,0.662526264
0.261086,0.400697134
0.2837198,0.454175465
0.2849098,0.449100879
0.2806139,0.825693729
0.278103,0.228356379
0.276913,0.194395687
0.2775437,0.196347451
0.2852073,0.188930748
0.2927281,0.277443242
0.300356,0.475254516
0.3106971,0.299595763
0.3115182,0.461006639
0.3068296,0.838965723
0.2999276,0.905813638
0.2930018,0.837209136
0.2901339,0.947678974
0.2819467,0.960072675
0.2809709,0.216506393
0.2728313,0.222605158
0.2603839,0.218031081
0.2431051,0.215744038
0.2544339,0.225654557
0.2814826,0.282830529
0.2992374,0.374312103
0.3139577,0.507722731
0.3216332,0.741763086
0.3248819,1.158004243
0.3217998,0.391846064
0.3199196,0.259960136
0.3154809,0.539741289
0.3150763,0.276731753
0.3223948,0.414716469
0.3301417,0.576333911
0.3386026,1.085581331
0.3713276,0.269870633
0.3849174,0.609114813
0.3615339,0.497049879
0.336056,1.051275741
0.3317958,0.417765857
0.3256673,0.568710435
0.3184916,0.39946954
0.3152191,0.216506393
0.3085908,0.222605158
0.3044258,0.218031081
0.2999038,0.215744038
0.3009034,0.225654557
0.3032596,0.282830529
0.3091739,0.374312103
0.3163139,0.507722731
0.3193722,0.741763086
0.3257506,1.158004243
0.3273571,0.391846064
0.3296657,0.259960136
0.3225495,0.539741289
0.3217165,0.276731753
0.3275118,0.414716469
0.3318434,0.576333911
0.3353182,1.085581331
0.3405661,0.269870633
0.3418394,0.609114813
0.3364963,0.497049879
0.331891,1.051275741
