time,local_time,electricity in kw
2019-01-01 00:00,2019-01-01 01:00,10.649
2019-01-01 01:00,2019-01-01 02:00,12.892
2019-01-01 02:00,2019-01-01 03:00,16.260
2019-01-01 03:00,2019-01-01 04:00,18.412
2019-01-01 04:00,2019-01-01 05:00,20.785
2019-01-01 05:00,2019-01-01 06:00,22.595
2019-01-01 06:00,2019-01-01 07:00,24.120
2019-01-01 07:00,2019-01-01 08:00,26.062
2019-01-01 08:00,2019-01-01 09:00,28.211
2019-01-01 09:00,2019-01-01 10:00,30.558
2019-01-01 10:00,2019-01-01 11:00,31.797
2019-01-01 11:00,2019-01-01 12:00,37.842
2019-01-01 12:00,2019-01-01 13:00,42.291
2019-01-01 13:00,2019-01-01 14:00,41.831
2019-01-01 14:00,2019-01-01 15:00,45.050
2019-01-01 15:00,2019-01-01 16:00,47.480
2019-01-01 16:00,2019-01-01 17:00,48.378
2019-01-01 17:00,2019-01-01 18:00,48.477
2019-01-01 18:00,2019-01-01 19:00,49.743
2019-01-01 19:00,2019-01-01 20:00,52.063
2019-01-01 20:00,2019-01-01 21:00,56.252
2019-01-01 21:00,2019-01-01 22:00,55.057
2019-01-01 22:00,2019-01-01 23:00,54.546
2019-01-01 23:00,2019-01-02 00:00,54.448
2019-01-02 00:00,2019-01-02 01:00,52.279
2019-01-02 01:00,2019-01-02 02:00,49.317
2019-01-02 02:00,2019-01-02 03:00,50.637
2019-01-02 03:00,2019-01-02 04:00,54.536
2019-01-02 04:00,2019-01-02 05:00,60.858
2019-01-02 05:00,2019-01-02 06:00,58.507
2019-01-02 06:00,2019-01-02 07:00,55.972
2019-01-02 07:00,2019-01-02 08:00,55.794
2019-01-02 08:00,2019-01-02 09:00,52.727
2019-01-02 09:00,2019-01-02 10:00,49.321
2019-01-02 10:00,2019-01-02 11:00,54.333
2019-01-02 11:00,2019-01-02 12:00,60.260
2019-01-02 12:00,2019-01-02 13:00,62.802
2019-01-02 13:00,2019-01-02 14:00,60.652
2019-01-02 14:00,2019-01-02 15:00,54.064
2019-01-02 15:00,2019-01-02 16:00,51.590
2019-01-02 16:00,2019-01-02 17:00,50.072
2019-01-02 17:00,2019-01-02 18:00,44.009
2019-01-02 18:00,2019-01-02 19:00,38.457
2019-01-02 19:00,2019-01-02 20:00,32.876
2019-01-02 20:00,2019-01-02 21:00,28.600
2019-01-02 21:00,2019-01-02 22:00,25.109
2019-01-02 22:00,2019-01-02 23:00,22.154
2019-01-02 23:00,2019-01-03 00:00,19.847
2019-01-03 00:00,2019-01-03 01:00,17.778
2019-01-03 01:00,2019-01-03 02:00,16.093
2019-01-03 02:00,2019-01-03 03:00,14.402
2019-01-03 03:00,2019-01-03 04:00,12.159
2019-01-03 04:00,2019-01-03 05:00,9.896
2019-01-03 05:00,2019-01-03 06:00,8.715
2019-01-03 06:00,2019-01-03 07:00,8.624
2019-01-03 07:00,2019-01-03 08:00,9.425
2019-01-03 08:00,2019-01-03 09:00,10.316
2019-01-03 09:00,2019-01-03 10:00,9.801
2019-01-03 10:00,2019-01-03 11:00,11.157
2019-01-03 11:00,2019-01-03 12:00,14.466
2019-01-03 12:00,2019-01-03 13:00,17.590
2019-01-03 13:00,2019-01-03 14:00,16.803
2019-01-03 14:00,2019-01-03 15:00,18.337
2019-01-03 15:00,2019-01-03 16:00,24.298
2019-01-03 16:00,2019-01-03 17:00,28.753
2019-01-03 17:00,2019-01-03 18:00,28.602
2019-01-03 18:00,2019-01-03 19:00,26.411
2019-01-03 19:00,2019-01-03 20:00,22.651
2019-01-03 20:00,2019-01-03 21:00,18.245
