temperature,heat_load,electrical_load,PV,solar_thermal_eff,hp_COP,hp_el_p_max_pu
5.885,4.158,0.288929622,0.0,0.0,3.27289,1.4323461538461537
5.613,4.3340000000000005,0.686831498,0.0,0.0,3.241882,1.4330435897435898
5.339,4.455,0.361935664,0.0,0.0,3.210646,1.4337461538461538
5.18,4.5364,0.3896287,0.0,0.0,3.19252,1.4341538461538461
5.103,4.6398,0.349715362,0.0,0.0,3.183742,1.434351282051282
4.906,4.8334,0.4391098713333333,0.0,0.0,3.1612839999999998,1.4348564102564103
4.883,5.1370000000000005,0.404848818,0.0,0.0,3.158662,1.4349153846153846
4.949,5.363600000000001,0.075690088,0.0,0.0,3.1661859999999997,1.434746153846154
5.141,5.480200000000001,0.060280508000000003,0.001,0.0,3.188074,1.4342538461538463
5.325,5.462600000000001,0.22798599666666666,0.006,0.0,3.20905,1.4337820512820512
5.455,5.3482,0.6742006953333334,0.01,0.0,3.22387,1.4334487179487179
5.617,5.2338000000000005,0.673600732,0.007,0.0,3.242338,1.4330333333333334
5.909,5.110600000000001,0.3074021713333333,0.011,0.0,3.275626,1.4322846153846152
6.299,4.965400000000001,0.726871144,0.02,0.0,3.320086,1.4312846153846153
6.272,4.8752,0.4512670193333333,0.018,0.0,3.317008,1.431353846153846
5.695,4.9214,0.25021621066666666,0.0,0.0,3.25123,1.4328333333333332
4.912,5.2228,0.641707954,0.0,0.0,3.161968,1.4348410256410256
4.446,5.731000000000001,0.36869314400000003,0.0,0.0,3.108844,1.4360358974358975
3.945,5.8806,0.39745979800000003,0.0,0.0,3.05173,1.4373205128205129
3.318,5.6364,0.39221801466666667,0.0,0.0,2.980252,1.438928205128205
2.81,5.478000000000001,0.4673397166666667,0.0,0.0,2.92234,1.4402307692307692
2.539,5.614400000000001,0.4319418906666667,0.0,0.0,2.891446,1.440925641025641
2.225,5.768400000000001,0.448898744,0.0,0.0,2.8556500000000002,1.441730769230769
1.587,5.8036,0.440562414,0.0,0.0,2.805678888888889,1.511435185185185
0.954,5.9994000000000005,0.285298266,0.0,0.0,2.768402222222222,1.6173860398860398
1.156,6.1402,0.3063917073333333,0.0,0.0,2.7802977777777778,1.5835754985754986
1.579,6.208400000000001,0.20484005000000002,0.0,0.0,2.805207777777778,1.5127742165242164
1.708,6.2216000000000005,0.4533826793333333,0.0,0.0,2.8128044444444447,1.491182336182336
1.387,6.2656,0.345073542,0.0,0.0,2.7939011111111114,1.5449109686609683
1.06,6.437200000000001,0.17237888599999998,0.0,0.0,2.7746444444444447,1.5996438746438746
