PV,wind,electrical load
0.0,0.047,44646.23
0.0,0.048,42195.93
0.0,0.057,41177.9
0.0,0.069,39669.91
0.0,0.078,39448.82
0.0,0.084,39112.2
0.0,0.087,38358.28
0.0,0.095,38981.1
0.012,0.109,39989.72
0.072,0.133,41769.75
0.165,0.16,43584.22
0.221,0.209,45883.21
0.183,0.222,47289.1
0.097,0.213,46557.84
0.018,0.265,45912.73
0.0,0.345,45729.13
0.0,0.352,46544.15
0.0,0.394,50658.87
0.0,0.432,52297.67
0.0,0.454,51841.36
0.0,0.452,50275.84
0.0,0.412,48453.13
0.0,0.375,48051.16
0.0,0.358,45828.57
0.0,0.338,42867.29
0.0,0.307,42248.43
0.0,0.301,41118.14
0.0,0.287,40455.02
0.0,0.297,40942.19
0.0,0.316,40975.67
0.0,0.353,40327.38
0.0,0.384,41299.98
0.168,0.387,44197.86
0.366,0.444,47727.38
0.482,0.49,49844.75
0.51,0.515,52540.61
0.453,0.503,54759.95
0.318,0.438,53702.47
0.105,0.384,53026.19
0.0,0.43,53100.59
0.0,0.399,54548.83
0.0,0.344,58028.24
0.0,0.24,58802.83
0.0,0.178,58032.79
0.0,0.161,55844.11
0.0,0.126,53099.92
0.0,0.103,51970.29
0.0,0.089,48981.01
0.0,0.079,45942.68
0.0,0.07,44302.81
0.0,0.066,42723.74
0.0,0.057,42982.63
0.0,0.05,43904.25
0.0,0.042,47251.05
0.0,0.033,52870.34
0.0,0.028,59802.39
0.061,0.026,64275.74
0.172,0.028,66073.38
0.266,0.031,67311.05
0.244,0.034,68636.91
0.174,0.037,70175.59
0.105,0.038,70025.14
0.04,0.037,68346.56
0.0,0.054,67933.67
0.0,0.083,67258.64
0.0,0.1,69564.04
0.0,0.108,70287.6
0.0,0.103,69090.6
0.0,0.088,65833.63
0.0,0.074,61487.2
0.0,0.064,59012.16
0.0,0.063,54776.79
0.0,0.065,51571.67
0.0,0.054,48921.39
0.0,0.044,47641.81
0.0,0.038,47994.13
0.0,0.033,48618.46
0.0,0.027,50767.85
0.0,0.025,55902.32
0.0,0.022,61074.65
0.006,0.019,65217.26
0.037,0.018,66846.47
0.028,0.017,67519.52
0.033,0.018,68641.11
0.041,0.024,69853.84
0.022,0.036,69272.46
0.002,0.054,68141.29
0.0,0.084,67739.0
0.0,0.122,68258.56
0.0,0.148,69326.58
0.0,0.163,69819.27
0.0,0.171,69094.73
0.0,0.179,66176.3
0.0,0.204,62513.18
0.0,0.202,59561.19
0.0,0.202,56367.98
0.0,0.204,53196.69
